Last Write Time Hive Offset     Type    Key     Name    Data    Volatile

2023-01-09 22:16:26.000000      0xd30c7d465000  Key     [NONAME]        A               False
2023-01-09 21:47:17.000000      0xd30c7d465000  Key     [NONAME]        MACHINE         False
2023-01-09 21:47:18.000000      0xd30c7d465000  Key     [NONAME]        USER            False
2023-01-09 21:47:48.000000      0xd30c7d465000  Key     [NONAME]        WC              False
2022-05-07 05:25:15.000000      0xd30c7d453000  Key     \REGISTRY\MACHINE\SYSTEM        ActivationBroker               False
2022-05-07 05:25:13.000000      0xd30c7d453000  Key     \REGISTRY\MACHINE\SYSTEM        ControlSet001           False
2023-01-09 20:31:41.000000      0xd30c7d453000  Key     \REGISTRY\MACHINE\SYSTEM        DriverDatabase          False
2023-01-09 21:47:12.000000      0xd30c7d453000  Key     \REGISTRY\MACHINE\SYSTEM        HardwareConfig          False
2022-05-07 05:25:13.000000      0xd30c7d453000  Key     \REGISTRY\MACHINE\SYSTEM        Input           False
2022-05-07 10:09:30.000000      0xd30c7d453000  Key     \REGISTRY\MACHINE\SYSTEM        Keyboard Layout         False
2022-05-07 05:25:13.000000      0xd30c7d453000  Key     \REGISTRY\MACHINE\SYSTEM        Maps            False
2023-01-09 20:13:03.000000      0xd30c7d453000  Key     \REGISTRY\MACHINE\SYSTEM        MountedDevices          False
2022-05-07 05:25:13.000000      0xd30c7d453000  Key     \REGISTRY\MACHINE\SYSTEM        ResourceManager         False
2023-01-09 21:47:12.000000      0xd30c7d453000  Key     \REGISTRY\MACHINE\SYSTEM        RNG             False
2022-05-07 05:25:13.000000      0xd30c7d453000  Key     \REGISTRY\MACHINE\SYSTEM        Select          False
2023-01-09 20:31:40.000000      0xd30c7d453000  Key     \REGISTRY\MACHINE\SYSTEM        Setup           False
2022-05-07 05:25:13.000000      0xd30c7d453000  Key     \REGISTRY\MACHINE\SYSTEM        Software                False
2022-05-07 05:25:13.000000      0xd30c7d453000  Key     \REGISTRY\MACHINE\SYSTEM        State           False
2023-01-09 19:15:27.000000      0xd30c7d453000  Key     \REGISTRY\MACHINE\SYSTEM        WaaS            False
2023-01-09 21:47:27.000000      0xd30c7d453000  Key     \REGISTRY\MACHINE\SYSTEM        WPA             False
2023-01-09 21:47:12.000000      0xd30c7d453000  Key     \REGISTRY\MACHINE\SYSTEM        CurrentControlSet              True
2023-01-09 21:47:12.000000      0xd30c7d4ed000  Key     \REGISTRY\MACHINE\HARDWARE      ACPI            False
2023-01-09 21:47:12.000000      0xd30c7d4ed000  Key     \REGISTRY\MACHINE\HARDWARE      DESCRIPTION             False
2023-01-09 21:47:15.000000      0xd30c7d4ed000  Key     \REGISTRY\MACHINE\HARDWARE      DEVICEMAP               False
2023-01-09 20:43:29.000000      0xd30c7dd83000  Key     \SystemRoot\System32\Config\SOFTWARE    Classes         False
2022-05-07 10:18:27.000000      0xd30c7dd83000  Key     \SystemRoot\System32\Config\SOFTWARE    Clients         False
2022-05-07 05:25:26.000000      0xd30c7dd83000  Key     \SystemRoot\System32\Config\SOFTWARE    DefaultUserEnvironment False
2022-05-07 05:25:26.000000      0xd30c7dd83000  Key     \SystemRoot\System32\Config\SOFTWARE    Google          False
2023-01-09 21:47:29.000000      0xd30c7dd83000  Key     \SystemRoot\System32\Config\SOFTWARE    Microsoft              False
2023-01-09 20:43:34.000000      0xd30c7dd83000  Key     \SystemRoot\System32\Config\SOFTWARE    Mozilla         False
2023-01-09 20:17:30.000000      0xd30c7dd83000  Key     \SystemRoot\System32\Config\SOFTWARE    Oracle          False
2022-05-07 05:25:18.000000      0xd30c7dd83000  Key     \SystemRoot\System32\Config\SOFTWARE    Partner         False
2022-05-07 05:28:05.000000      0xd30c7dd83000  Key     \SystemRoot\System32\Config\SOFTWARE    Policies               False
2023-01-09 20:43:29.000000      0xd30c7dd83000  Key     \SystemRoot\System32\Config\SOFTWARE    RegisteredApplications False
2022-05-07 05:24:30.000000      0xd30c7dd83000  Key     \SystemRoot\System32\Config\SOFTWARE    Setup           False
2023-01-09 21:47:15.000000      0xd30c7dd83000  Key     \SystemRoot\System32\Config\SOFTWARE    WOW6432Node            False
2023-01-09 21:47:15.000000      0xd30c7fa28000  Key     \Device\HarddiskVolume1\EFI\Microsoft\Boot\BCD  Description    False
2023-01-09 21:47:15.000000      0xd30c7fa28000  Key     \Device\HarddiskVolume1\EFI\Microsoft\Boot\BCD  Objects        False
2023-01-09 20:13:12.000000      0xd30c7d81d000  Key     \SystemRoot\System32\Config\DEFAULT     Console         False
2022-05-07 10:09:30.000000      0xd30c7d81d000  Key     \SystemRoot\System32\Config\DEFAULT     Control Panel          False
2022-05-07 05:25:13.000000      0xd30c7d81d000  Key     \SystemRoot\System32\Config\DEFAULT     Environment            False
2022-05-07 05:25:13.000000      0xd30c7d81d000  Key     \SystemRoot\System32\Config\DEFAULT     EUDC            False
2023-01-09 20:14:58.000000      0xd30c7d81d000  Key     \SystemRoot\System32\Config\DEFAULT     Keyboard Layout        False
2023-01-09 19:15:37.000000      0xd30c7d81d000  Key     \SystemRoot\System32\Config\DEFAULT     Printers               False
2023-01-09 20:15:01.000000      0xd30c7d81d000  Key     \SystemRoot\System32\Config\DEFAULT     Software               False
2023-01-09 20:14:41.000000      0xd30c7d81d000  Key     \SystemRoot\System32\Config\DEFAULT     System          False
-       0xd30c7fd9f000  Key     ?\      -               -
2023-01-09 20:13:05.000000      0xd30c7fe21000  Key     \SystemRoot\System32\Config\SAM SAM             False
2023-01-09 20:13:05.000000      0xd30c81133000  Key     \??\C:\Windows\ServiceProfiles\NetworkService\NTUSER.DAT       AppEvents                False
2023-01-09 20:13:05.000000      0xd30c81133000  Key     \??\C:\Windows\ServiceProfiles\NetworkService\NTUSER.DAT       Console          False
2023-01-09 20:13:05.000000      0xd30c81133000  Key     \??\C:\Windows\ServiceProfiles\NetworkService\NTUSER.DAT       Control Panel            False
2023-01-09 20:13:05.000000      0xd30c81133000  Key     \??\C:\Windows\ServiceProfiles\NetworkService\NTUSER.DAT       Environment              False
2023-01-09 20:13:05.000000      0xd30c81133000  Key     \??\C:\Windows\ServiceProfiles\NetworkService\NTUSER.DAT       EUDC             False
2023-01-09 20:02:53.000000      0xd30c81133000  Key     \??\C:\Windows\ServiceProfiles\NetworkService\NTUSER.DAT       Keyboard Layout          False
2023-01-09 20:13:05.000000      0xd30c81133000  Key     \??\C:\Windows\ServiceProfiles\NetworkService\NTUSER.DAT       Network          False
2023-01-09 20:13:05.000000      0xd30c81133000  Key     \??\C:\Windows\ServiceProfiles\NetworkService\NTUSER.DAT       Software         False
2023-01-09 20:13:05.000000      0xd30c81133000  Key     \??\C:\Windows\ServiceProfiles\NetworkService\NTUSER.DAT       System           False
2023-01-09 20:13:06.000000      0xd30c812ef000  Key     \??\C:\Windows\ServiceProfiles\LocalService\NTUSER.DAT  AppEvents               False
2023-01-09 20:13:06.000000      0xd30c812ef000  Key     \??\C:\Windows\ServiceProfiles\LocalService\NTUSER.DAT  ConsoleFalse
